"type","lat","lng","id","zone","device","description"
"Point","40.435347115169115","-3.7141204911504673","4381","city","18003","Fernández de los Rios, 71 O-E - Isaac Peral-Guzmán el Bueno"
"Point","40.43587296502697","-3.7042921177878054","4409","city","19007","Bravo Murillo, 25 N-S - Donoso Cortés-Fdez.de los Rios"
"Point","40.43001610359839","-3.7007601155909313","4411","city","19009","Luchana, 15 N-S - Palafox-Gta.  Bilbao"
"Point","40.42976695063223","-3.7067320281535983","4383","city","18005","Alberto Aguilera O-E - Gta. Ruiz Jiménez-Vallehermoso"
"Point","40.434559620659186","-3.7004024888369504","4405","city","19003","Eloy Gonzalo, 27 E-O - Santisima Trinidad-Gral.Alvarez Castro"
"Point","40.434598435206475","-3.661200228362275","4677","city","35043","Roberto Domingo N-S - Martínez Izquierdo-Av.Toreros"
"Point","40.407024476502826","-3.6815686885632535","5080","city","2058","Reina Cristina O-E - Andres Torrejon-Gutenberg"
"Point","40.44611887980673","-3.7074051063296234","3411","city","97028","Av.Pablo Iglesias S-N  - San Francisco de Sales-Reina Victoria"
"Point","40.39816254006242","-3.6829926879707626","7003","city","97098","Méndez Alvaro S-N - Estrella Naos -Repsol"
"Point","40.42999013371881","-3.6778385233640436","4006","city","8005","Jose Ortega y Gasset 45 O-E - Ppe. Vergara-Gral. Diaz Polier"
"Point","40.44087071762985","-3.66158709599282","4679","city","35046","Pl.Venecia E-O - Av.Brasilia-Av.Bruselas"
"Point","40.48267817446222","-3.703004889548662","5427","city","43016","Av.Ilustración E-O - Arzobispo Morcillo-Ginzo de Limia"
"Point","40.44578343314898","-3.6914122055042142","5457","city","60010","PºCastellana S-N - Raimundo Fernández Villaverde-San Juán de la Cruz"
"Point","40.450109191550304","-3.6908135586900723","5460","city","60013","PºCastellana S-N - Hermanos Pinzón-Pl.de Lima"
"Point","40.45723828164993","-3.690123320176187","5463","city","60016","PºCastellana S-N - Juán Gris- Sor Angela de la Cruz"
"Point","40.44953004171438","-3.6879182245942963","3451","city","60088","Méndez Casariego E-O(Entrada Pl.Quito) - Méndez Casariego E-O(Entrada Pl.Quito)"
"Point","40.457041268133","-3.6753511821418496","5605","city","61099","Colombia O-E - Chile-Puerto Rico"
"Point","40.460105137742026","-3.6671866714796217","7092","city","61121","Acceso M-30 N-E(Túnel) - M-30 Norte-Pl.José MªSoler"
"Point","40.459254628324096","-3.6935020613108613","7094","city","62085","Sor Angela de la Cruz O-E(Giro Izqda) - Capitán Haya-Orense"
"Point","40.45351167989304","-3.7030278873374005","3425","city","63002","Bravo Murillo N-S - Navarra-Castilla"
"Point","40.39910573028892","-3.6708054426482453","5812","city","41001","Av. Ciudad de Barcelona - Seco-M-30"
"Point","40.42862815001959","-3.700177071633164","4413","city","19011","Sagasta, 13 E-O - Francisco de Rojas-Gta. Bilbao"
"Point","40.43508587499179","-3.693025375192382","4447","city","21025","Gral. Martínez Campos, 36 O-E - Zurbano-Miguel Angel"
"Point","40.36941980188298","-3.60902488439142","5357","city","88001","C/. Peñaranda de Bracamonte -  La Adrada-Av. Ensanche de Vallecas"
"Point","40.40415045427026","-3.7499661551576815","4767","city","24037","GIRO CEBREROS E-N(PALMIPEDOS-CARLINA)"
"Point","40.354839162136216","-3.6894570070762174","4835","city","26028","VILLAFUERTE N-S(VILLAJOYOS-CRA.VILLAVER)"
"Point","40.3831089978197","-3.7416072920633283","5052","city","49020","GRAL. RICARDOS O-E(NTRA.SRA.LUZ-BLASON)"
"Point","40.38926453054717","-3.7334131746261323","5105","city","51006","OCA S-N (GRAL.RICARDOS-PL.ALMODOVAR)"
"Point","40.386174529133626","-3.7402418252086216","3481","city","51024","CASTROJERIZ N-S(AV.PZA TOROS-M.GRANDES)"
"Point","40.43085454120323","-3.6629124021459054","4025","city","9009","Alcala O-E - Almeria-Puente Ventas"
"Point","40.421130529911316","-3.672858227126973","4077","city","10033"," Maiquez S-N - Ibiza-OÂ´Donnell"
"Point","40.40440591912647","-3.704692164391181","4215","city","14019","Pº Acacias O-E - Peñuelas-Gta. Embajadores"
"Point","40.46165607019635","-3.6979579943345495","5684","city","62074","Bravo Murillo S-N - Conde Vallellano-Marqués de Viana"
"Point","40.3873256789458","-3.6906884877334436","4103","city","11032","Embajadores N-S - Bronce-Planetario"
"Point","40.43606250465374","-3.7211076850495197","4373","city","17042","Princesa S-N - Seneca-Pº Moret"
"Point","40.434803444382624","-3.7043294441087222","4404","city","19002","Bravo Murillo, 11 N-S - Fernández de los Rios-Gta.Quevedo"
"Point","40.42920252256605","-3.6996507686968787","4412","city","19010","Francisco de Rojas, 5 N-S - Luchana-Sagasta"
"Point","40.43286744069241","-3.709031121139258","10023","city","20007"," Melendez Valdés O-E - Galileo-Vallehermoso"
"Point","40.43507746353873","-3.695012036289383","4427","city","21002","Gral. Martinez Campos E-O - Fdez.de la Hoz-Modesto Lafuente"
"Point","40.458949348860244","-3.689130412822493","5474","city","60028","Alberto Alcocer E-O - PºCastellana-Doctor Fleming"
"Point","40.45968507583946","-3.6956889320856168","5658","city","62042","Sor Angela de la Cruz O-E - Infanta Mercedes-Orense"
"Point","40.38149395199428","-3.6626406424970726","7027","city","40032","Av. Pablo Neruda - Candilejas-Romeo y Julieta"
"Point","40.39223415608877","-3.6542300448945735","5836","city","41026","C/. Pio Felipe - Pio Felipe-Av. Albufera"
"Point","40.42648848230126","-3.646944831225113","6159","city","53029","Av. Trece Rosas  - Av. Trece Rosas-Pl. Agustín González"
"Point","40.47568891851564","-3.5834317236280167","6929","city","57021","Playa de Riazor - Arroyomolino - Av. Logroño"
"Point","40.37578774614301","-3.6606227705576235","6487","city","68005","Ronda del Sur - Cooperativa Eléctrica-Av. Entrevías"
"Point","40.404137946869824","-3.7498958742885415","4768","city","24038","CEBREROS E-O(PALMIPEDOS-CARLINA)"
"Point","40.392223307139766","-3.727148725751603","5058","city","49027","BLASA PEREZ N-S(TOBOSO-GRAL.RICARDOS)"
"Point","40.390786479446234","-3.729385402299568","5059","city","49028","PEDRO DIEZ N-S(V.LLAGUNO-GRAL.RICARDOS)"
"Point","40.38887252414946","-3.732620619865023","3686","city","49030","OCA N-S(MATILDE FERNANDEZ-GRAL.RICARDOS)"
"Point","40.373738876839404","-3.739966270107177","4952","city","38034","AV. POBLADOS E-O(BELZUNEGUI-ALISEDA)"
"Point","40.385758424445875","-3.7359251802464315","5054","city","49022","G.RICARDOS O-E(PL.TOROS-CLARA CAMPOAMOR)"
"Point","40.386118504593206","-3.734506261732374","5055","city","49023","C.CAMPOAMOR S-N(A. ABELLAN-G.RICARDOS)"
"Point","40.38946947594805","-3.729865820323947","5056","city","49025","CASTRO ORO S-N(FERREIRA-GRAL.RICARDOS)"
"Point","40.39271537199655","-3.7238433918265152","5057","city","49026","C.VIEJO LEGANES S-N(RADIO-GRAL.RICARDOS)"
"Point","40.38678464259456","-3.721991455582052","5078","city","50015","VIA E-O(MERCEDES DOMINGO-PORTALEGRE)"
